real_region	n_bins	rand_start	rand_end	p_spatial	p_directional	p_combined
Trbv1	125	41397400	41422400	0.762293	0.460318	0.718379
Trbv1	125	41460400	41485400	0.168509	0.559397	0.316882
Trbv1	125	41154800	41179800	0.762293	0.460318	0.718379
Trbv1	125	41546200	41571200	0.762293	0.539682	0.776797
Trbv1	125	41493600	41518600	0.0530513	0.255457	0.0718436
Trbv1	125	40811800	40836800	0.762293	0.539682	0.776797
Trbv1	125	41415800	41440800	0.415919	0.788107	0.6934
Trbv1	125	41436600	41461600	0.168509	0.440603	0.267312
Trbv1	125	41512600	41537600	1	1	1
Trbv1	125	40904600	40929600	0.168509	0.440603	0.267312
Trbv1	125	41169600	41194600	1	1	1
Trbv1	125	40898200	40923200	0.415919	0.211893	0.302194
Trbv1	125	41286200	41311200	0.762293	0.539682	0.776797
Trbv1	125	41601600	41626600	1	1	1
Trbv1	125	40860600	40885600	0.762293	0.460318	0.718379
Trbv1	125	41137800	41162800	1	1	1
Trbv1	125	41641400	41666400	1	1	1
Trbv1	125	41053200	41078200	1	1	1
Trbv1	125	40905600	40930600	0.168509	0.440603	0.267312
Trbv1	125	41217400	41242400	0.415919	0.211893	0.302194
Trbv1	125	41234800	41259800	0.168509	0.559397	0.316882
Trbv1	125	41370000	41395000	1	1	1
Trbv1	125	41064400	41089400	0.762293	0.539682	0.776797
Trbv1	125	41626000	41651000	1	1	1
Trbv1	125	41245800	41270800	0.415919	0.291256	0.376841
Trbv1	125	41040600	41065600	1	1	1
Trbv1	125	41630200	41655200	1	1	1
Trbv1	125	41599200	41624200	1	1	1
Trbv1	125	41226600	41251600	0.168509	0.440603	0.267312
Trbv1	125	40811600	40836600	0.762293	0.539682	0.776797
Trbv1	125	41312200	41337200	0.168509	0.559397	0.316882
Trbv1	125	41275600	41300600	0.415919	0.291256	0.376841
Trbv1	125	40919600	40944600	0.0530513	0.374252	0.0976709
Trbv1	125	41344600	41369600	0.0530513	0.255457	0.0718436
Trbv1	125	41525600	41550600	1	1	1
Trbv1	125	40882600	40907600	1	1	1
Trbv1	125	41422800	41447800	0.168509	0.440603	0.267312
Trbv1	125	41445200	41470200	0.0134657	0.425909	0.0353352
Trbv1	125	41156600	41181600	0.762293	0.460318	0.718379
Trbv1	125	40795600	40820600	0.762293	0.539682	0.776797
Trbv1	125	41635400	41660400	1	1	1
Trbv1	125	40935200	40960200	0.0134657	0.574091	0.045321
Trbv1	125	41311400	41336400	0.168509	0.559397	0.316882
Trbv1	125	40948600	40973600	0.415919	0.788107	0.6934
Trbv1	125	41606200	41631200	1	1	1
Trbv1	125	41436000	41461000	0.168509	0.440603	0.267312
Trbv1	125	41493800	41518800	0.0530513	0.255457	0.0718436
Trbv1	125	41198800	41223800	0.762293	0.460318	0.718379
Trbv1	125	41345000	41370000	0.0530513	0.255457	0.0718436
Trbv1	125	41476600	41501600	0.415919	0.788107	0.6934
Trbv1	125	41531000	41556000	1	1	1
Trbv1	125	41370600	41395600	1	1	1
Trbv1	125	40885400	40910400	1	1	1
